,Song,Film,Year,Music Director,Lyricist,Singers
8925,http://giitaayan.com/viewisbsong.asp?id=13034,Milan,1967,Laxmikant-Pyarelal,Anand Bakshi,Lata
8926,http://giitaayan.com/viewisbsong.asp?id=1733,Kaajal,1965,Ravi,Sahir,Asha
8927,http://giitaayan.com/viewisbsong.asp?id=10923,Chori Chori,1973,Shankar-Jaikishan,Gulshan Bawra,Mukesh
8928,http://giitaayan.com/viewisbsong.asp?id=1734,Faqeeraa,1976,Ravindra Jain,Ravindra Jain,"Kishore, Lata"
8929,http://giitaayan.com/viewisbsong.asp?id=21253,Bade Dil Wala,1982,R D Burman,Majrooh,"Kishore, Lata"
8930,http://giitaayan.com/viewisbsong.asp?id=12527,Kaamchor,1982,Rajesh Roshan,Indeevar,"Lata, Kishore"
8931,http://giitaayan.com/viewisbsong.asp?id=13374,Officer,2001,Deepak Choudhary,Deepak Choudhary,Babul Supriyo
8932,http://giitaayan.com/viewisbsong.asp?id=14483,Tum - A Dangerous Obsession,2003,Himesh Reshammiya,Sameer,Adnan Sami
8933,http://giitaayan.com/viewisbsong.asp?id=21215,Milan,1958,Hansraj Behl,Prem Dhawan,Lata
8934,http://giitaayan.com/viewisbsong.asp?id=10413,Aarohi,1982,Anand Saagar Kiran,Bharat Vyas,"Mukesh, Hemlata"
8935,http://giitaayan.com/viewisbsong.asp?id=1737,Coolie No. 1,1,Anand-Milind,Sameer,"Kumar Sanu, Alka Yagnik"
8936,http://giitaayan.com/viewisbsong.asp?id=12050,Jaanwar,1999,Anand-Milind,Sameer,"Udit Narayan, Sunidhi Chauhan/..."
8937,http://giitaayan.com/viewisbsong.asp?id=84,Neelkamal,1968,Ravi,Sahir,Rafi
8938,http://giitaayan.com/viewisbsong.asp?id=1738,Chaand Grahan,1997,Jaidev,Kaifi Azmi,Mukesh
8939,http://giitaayan.com/viewisbsong.asp?id=13320,Nanha Farishta,1969,Kalyanji-Anandji,Sahir,"Rafi, Kishore, Manna Dey"
8940,http://giitaayan.com/viewisbsong.asp?id=11855,Harjaee,1981,R D Burman,Gulshan Bawra,Kishore
8941,http://giitaayan.com/viewisbsong.asp?id=12669,Lo Main Aa Gayaa,1998,Anand Raj Anand,"Anand Raj Anand, Dev Kohli, Rajesh Malik","Udit Narayan, Nutan, Chorus"
8942,http://giitaayan.com/viewisbsong.asp?id=12164,Jeenaa Teri Gali Mein,1990,Babul Bose,Naqsh Lyallpuri,"Anuradha Paudwal, Udit Narayan"
8943,http://giitaayan.com/viewisbsong.asp?id=1739,Maasoom,1982,R D Burman,Gulzar,Lata / Anoop Ghoshal
8944,http://giitaayan.com/viewisbsong.asp?id=14704,Zamana Deewana,1995,Nadeem-Shravan,Sameer,"Alka Yagnik, Kumar Sanu"
8945,http://giitaayan.com/viewisbsong.asp?id=15032,Patitaa,1953,Shankar-Jaikishan,Shailendra,Talat
