Song,Film,Year,Music Director,Lyricist,Singers
http://giitaayan.com/viewisbsong.asp?id=12113,Jaan Tere Naam,1992,Nadeem-Shravan,Surendra Sathi,"Kumar Sanu, Chorus"
http://giitaayan.com/viewisbsong.asp?id=10074,Aap Mujhe Achche Lagne Lage,2002,Rajesh Roshan,Dev Kohli,"Alka Yagnik, KayKay, Jack, Cho..."
http://giitaayan.com/viewisbsong.asp?id=rmim0662,Kalyug,1981,Vanraj Bhatia,Balwant Tandon,Preeti Sagar
http://giitaayan.com/viewisbsong.asp?id=5,Rock Dancer,1995,Bappi Lahiri,,"Bappi Lahiri, Sweta Shetty"
http://giitaayan.com/viewisbsong.asp?id=21242,Shahenshah,1988,Amar-Utpal,Anand Bakshi,Asha
http://giitaayan.com/viewisbsong.asp?id=3342,Shatranj,1956,C Ramchandra,Rajinder Krishan,Lata
http://giitaayan.com/viewisbsong.asp?id=3427,Rang Birangi,1983,R D Burman,Kaka Haathrasi,"Pt Vasantrao Deshpande, Kum. F..."
http://giitaayan.com/viewisbsong.asp?id=3367,Joru Ka Bhaai,1955,Jaidev,Vishwamitra Adil,Lata
http://giitaayan.com/viewisbsong.asp?id=13767,Raja Babu,1994,Anand-Milind,Sameer,"Poornima, Chorus"
http://giitaayan.com/viewisbsong.asp?id=13427,Paagalpan,2001,Raju Singh,Sameer,"Udit Narayan, Sunidhi Chauhan,..."
http://giitaayan.com/viewisbsong.asp?id=12077,Jung,2000,Annu Malik,Sameer,"Annu Malik, Chorus"
http://giitaayan.com/viewisbsong.asp?id=13861,Rudraksh,2003,Shankar-Ehsaan-Loy,"Sameer, Arun Bhairav","Gayatri Iyer, Kunal, Shankar"
http://giitaayan.com/viewisbsong.asp?id=rmim0110,Dil Apnaa Aur Preet Paraai,1960,Shankar-Jaikishan,Shailendra,"Lata, Chorus"
http://giitaayan.com/viewisbsong.asp?id=6,Patitaa,1953,Shankar-Jaikishan,Shailendra,Talat
http://giitaayan.com/viewisbsong.asp?id=7,Dhoop Chhaaon,1935,R C Boral,Pt. Sudarshan,Saigal/ K C Dey
http://giitaayan.com/viewisbsong.asp?id=8,Sambandh,1969,O P Nayyar,Pradeep,Mahendra Kapoor
http://giitaayan.com/viewisbsong.asp?id=3003,Sanskaar,1952,Roshan,Shailendra,Lata
http://giitaayan.com/viewisbsong.asp?id=3004,Sahaaraa,1958,Hemant Kumar,Bharat Vyas,Lata
http://giitaayan.com/viewisbsong.asp?id=3251,Bahu,1955,Hemant Kumar,S H Bihari,Lata
http://giitaayan.com/viewisbsong.asp?id=9,Rattan,1944,Naushad,D N Madhok,Manju
http://giitaayan.com/viewisbsong.asp?id=10138,Aankhen,1993,Bappi Lahiri,Indeevar,"Kumar Sanu, Sadhana Sargam"
http://giitaayan.com/viewisbsong.asp?id=10,Khuddaar,1982,Rajesh Roshan,Majrooh,"Kishore, Lata"
http://giitaayan.com/viewisbsong.asp?id=14061,Sanam Bewafaa,1990,Mahesh Kishor,Saawan Kumar,Kavita Subramaniam
http://giitaayan.com/viewisbsong.asp?id=11416,Eenaa Meenaa Deekaa,1994,Anand-Milind,Sameer,"Kumar Sanu, Poornima, Chorus"
http://giitaayan.com/viewisbsong.asp?id=14358,Tu Hi Mera Dil,1995,A R Rahman,P K Mishra,S P Balasubrahmanyam
http://giitaayan.com/viewisbsong.asp?id=13022,Mera Qusoor Kya Hai,1964,Chitragupt,Rajinder Krishan,Rafi
http://giitaayan.com/viewisbsong.asp?id=10740,Beqasoor,1950,Hansraj Behl,Ehsaan Rizvi,"Rafi, Lata"
http://giitaayan.com/viewisbsong.asp?id=11692,Humraaz,2002,Himesh Reshammiya,Sudhakar Sharma,"Sonu Nigam, Jaspindar Narula"
http://giitaayan.com/viewisbsong.asp?id=12252,Jeewan/ Bahaar,1944,Naushad,D N Madhok,Nirmala Devi
http://giitaayan.com/viewisbsong.asp?id=11730,Hindustaan Ki Qasam,1999,Sukhwinder Singh,Anand Bakshi,"Udit Narayan, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=12078,Johar Mehmood in Goa,1965,Kalyanji-Anandji,Qamar Jalalabadi,"Mukesh, Suman"
http://giitaayan.com/viewisbsong.asp?id=21250,Jhoom Barabar Jhoom,2007,Shankar-Ehsaan-Loy,Gulzar,"Neeraj Shridhar, Alisha Chinoy"
http://giitaayan.com/viewisbsong.asp?id=11009,Dil Mera Dhadkan Teri (Non-Film),2002,Vaishnav Deva,Arun Bhairav,"Anuradha Paudwal, Nitin Mukesh"
http://giitaayan.com/viewisbsong.asp?id=21140,Naukar,1978,R D Burman,Majrooh,Kishore
http://giitaayan.com/viewisbsong.asp?id=11,Naukar,1979,R D Burman,Majrooh,Lata
http://giitaayan.com/viewisbsong.asp?id=11817,Heer Ranjhaa,1992,Laxmikant-Pyarelal,Anand Bakshi,"Alka Yagnik, Kavita Subramaniam"
http://giitaayan.com/viewisbsong.asp?id=12770,Mujhe Kuchh Kehna Hai,2001,Annu Malik,Sameer,"Preeti, Pinki, Babul Supriyo"
http://giitaayan.com/viewisbsong.asp?id=14301,Sandhya,2003,Anand Raj Anand,Shaheen Iqbal,Zubin Garg
http://giitaayan.com/viewisbsong.asp?id=13799,Raajhath,1956,Shankar-Jaikishan,Hasrat,"Lata, Usha"
http://giitaayan.com/viewisbsong.asp?id=14294,Surya,2003,Aadesh Srivastava,Sameer,"Shael, Baby"
http://giitaayan.com/viewisbsong.asp?id=12242,Junglee,1961,Shankar-Jaikishan,Shailendra,Rafi
http://giitaayan.com/viewisbsong.asp?id=12069,Jungle,2000,Sandeep Chowtha,Sameer,"Sonu Nigam, Sunidhi Chauhan, S..."
http://giitaayan.com/viewisbsong.asp?id=10423,Andaaz,2003,Nadeem-Shravan,Sameer,"Sonu Nigam, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=10895,Chaubees Ghante,1958,Bipin-Babul,Raja Mehdi Ali Khan,"Talat, Asha"
http://giitaayan.com/viewisbsong.asp?id=2502,Shirin Farhaad,1956,S Mohinder,Tanvir Naqvi,"Lata, Hemant"
http://giitaayan.com/viewisbsong.asp?id=14244,Suraj,1966,Shankar-Jaikishan,Hasrat,"Rafi, Asha"
http://giitaayan.com/viewisbsong.asp?id=14245,Suraj,1966,Shankar-Jaikishan,Hasrat,"Rafi, Asha"
http://giitaayan.com/viewisbsong.asp?id=10036,Asoka,2002,Annu Malik,Gulzar,"Sunidhi Chauhan, Chorus"
http://giitaayan.com/viewisbsong.asp?id=2503,Laal Pathhar,1971,Shankar-Jaikishan,Hasrat,Asha
http://giitaayan.com/viewisbsong.asp?id=12223,Jis Desh Mein Gangaa Behti Hai,1960,Shankar-Jaikishan,Shailendra,"Mukesh, Lata"
http://giitaayan.com/viewisbsong.asp?id=2751,Daera,1953,Jamal Sen,Majrooh,Talat
http://giitaayan.com/viewisbsong.asp?id=13898,Sur,2002,M M Kreem,Nida Fazli,"Lucky Ali, Sunidhi Chauhan"
http://giitaayan.com/viewisbsong.asp?id=13899,Sur,2002,M M Kreem,Nida Fazli,Sunidhi Chauhan
